nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,experiment,runtime
317,69,105,413,1.3028391167192428,2,0,1.3028391167192428,7,0,2.6056782334384856,7,0,order_random,0.0779581
248,58,91,324,1.3064516129032258,2,0,1.3064516129032258,7,0,2.6129032258064515,7,0,order_random,0.0395872000000006
149,34,54,197,1.3221476510067114,2,0,1.3221476510067114,8,0,2.6442953020134228,8,0,order_random,0.0176404000000003
239,55,84,319,1.334728033472803,2,0,1.334728033472803,8,0,2.6694560669456067,8,0,order_random,0.0389140999999995
34,10,11,40,1.1764705882352942,2,0,1.1764705882352942,5,0,2.3529411764705883,5,0,order_random,0.0022868999999996
209,47,77,278,1.3301435406698563,2,0,1.3301435406698563,8,0,2.660287081339713,8,1,order_random,0.0305062999999998
475,107,181,624,1.3136842105263158,2,0,1.3136842105263158,7,0,2.627368421052632,7,0,order_random,0.1437607000000005
443,94,148,591,1.3340857787810383,2,0,1.3340857787810383,8,0,2.6681715575620766,8,0,order_random,0.1430036999999995
404,82,155,543,1.344059405940594,2,0,1.344059405940594,9,0,2.6881188118811883,9,0,order_random,0.1051755000000005
292,59,99,397,1.3595890410958904,2,0,1.3595890410958904,8,0,2.719178082191781,8,0,order_random,0.0638963999999999
478,94,174,651,1.3619246861924683,2,0,1.3619246861924683,11,0,2.723849372384937,11,0,order_random,0.1724016000000006
279,65,103,367,1.3154121863799284,2,0,1.3154121863799284,6,0,2.630824372759857,6,1,order_random,0.0530236999999997
